set,frame,strategy,decode_path,width,height,megapixels,decode_ms,demosaic_ms,resize_ms,readback_ms,curve_ms,encode_ms,write_ms,total_ms,fps_single,in_bytes,out_bytes,ratio,peak_mb,whole_rel,block_rel,block_abs,green_ratio,blue_ratio,psnr_db,ssim,stops_rms,wb_warm_psnr,wb_cool_psnr,wb_tintp_psnr,wb_tintm_psnr,wb_warm_stops,wb_cool_stops,wb_balanced,apple_direct,apple_direct_whole,apple_direct_green,apple_direct_blue,repack_applies,imageio_type,imageio_decodes,quicklook,adobe,adobe_gap,thermal,error,notes
1,"_WEX3879.ARW","apple_linear_lj92_keep_t512","apple-ciraw",4608,3072,14.16,324,0,0,0,37,89,19,470,2.127,18657280,27153165,0.69,1082,0.3320,0.8747,0.01931,0.6680,0.7656,36.43,0.8766,1.6478,,,,,,,,yes,0.3333,0.6667,0.7649,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 1.000 (setup 155 + render 162 ms)"
1,"_WEX3879.ARW","apple_linear_lj92_10mp_t512","apple-ciraw",3873,2582,10.00,193,0,0,0,26,72,17,308,3.247,18657280,20244165,0.92,2147,0.3345,0.8747,0.01931,0.6655,0.7649,36.57,0.8761,1.6550,,,,,,,,yes,0.3344,0.6656,0.7640,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 39 + render 148 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d0.5-e7-xyb_lut2.2_keep_t512","apple-ciraw",4608,3072,14.16,205,0,0,0,152,425,7,789,1.267,18657280,1111485,16.79,2203,0.3180,0.8747,0.01931,0.6820,0.7660,56.20,0.9700,0.1457,55.36,51.17,54.45,55.79,0.143,0.208,yes,yes,0.3194,0.6806,0.7649,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 1.000 (setup 41 + render 157 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d0.5-e7-xyb_lut2.2_10mp_t512","apple-ciraw",3873,2582,10.00,189,0,0,0,98,405,6,699,1.431,18657280,781544,23.87,2145,0.3206,0.8743,0.01931,0.6794,0.7653,56.55,0.9719,0.1425,55.71,51.49,54.80,56.13,0.142,0.207,yes,yes,0.3209,0.6791,0.7641,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 41 + render 142 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d1.0-e7-xyb_lut2.2_10mp_t512","apple-ciraw",3873,2582,10.00,194,0,0,0,102,388,5,689,1.452,18657280,497981,37.47,1863,0.3155,0.8746,0.01930,0.6845,0.7661,53.70,0.9583,0.1780,52.92,48.77,52.04,53.26,0.179,0.251,yes,yes,0.3158,0.6842,0.7649,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 41 + render 146 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d2.0-e7-xyb_lut2.2_10mp_t512","apple-ciraw",3873,2582,10.00,189,0,0,0,101,385,4,680,1.471,18657280,346741,53.81,1973,0.3086,0.8732,0.01928,0.6914,0.7672,50.80,0.9422,0.2215,50.01,46.08,49.24,50.32,0.224,0.301,yes,yes,0.3087,0.6913,0.7662,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 41 + render 143 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d1.0-e3-xyb_lut2.2_10mp_t512","apple-ciraw",3873,2582,10.00,195,0,0,0,103,126,8,431,2.322,18657280,392875,47.49,1928,0.3036,0.8753,0.01932,0.6964,0.7665,50.73,0.9322,0.2499,50.21,45.85,49.13,50.36,0.253,0.338,yes,yes,0.3025,0.6975,0.7661,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 41 + render 147 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d1.0-e5-xyb_lut2.2_10mp_t512","apple-ciraw",3873,2582,10.00,189,0,0,0,101,252,5,548,1.826,18657280,491267,37.98,2011,0.3145,0.8746,0.01930,0.6855,0.7661,53.32,0.9570,0.1862,52.59,48.42,51.68,52.89,0.186,0.262,yes,yes,0.3146,0.6854,0.7649,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 41 + render 142 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d0.5-e7-xyb_cubic0.10_10mp_t512","apple-ciraw",3873,2582,10.00,195,0,0,0,42,372,1,610,1.640,18657280,576776,32.35,2007,0.3378,0.8746,0.01931,0.6622,0.7658,61.63,0.9978,0.0662,60.78,56.35,59.99,61.10,0.064,0.100,yes,yes,0.3384,0.6616,0.7644,yes,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 41 + render 148 ms)"
1,"_WEX3879.ARW","apple_linear_jxl-d1.0-e7-rgb_linear_10mp_t512","apple-ciraw",3873,2582,10.00,201,0,0,0,27,295,2,525,1.905,18657280,376191,49.60,2444,0.3320,0.8740,0.01929,0.6680,0.7679,43.35,0.9427,0.2406,41.02,41.82,42.30,42.40,0.256,0.325,yes,yes,0.3341,0.6659,0.7658,yes,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 44 + render 151 ms)"
1,"_WEX3879.ARW","apple_linear_jpeg8-q0.90_cubic0.10_10mp_t512","apple-ciraw",3873,2582,10.00,220,0,0,0,38,8,2,268,3.726,18657280,925992,20.15,2779,0.3461,0.8632,0.01949,0.6539,0.7784,52.69,0.9677,0.1530,50.84,49.72,51.52,51.79,0.174,0.231,yes,yes,0.3463,0.6537,0.7759,yes,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 46 + render 168 ms) | ImageIO JPEG sampling 2x2,1x1,1x1"
1,"_WEX3879.ARW","apple_linear_hwjpeg-q0.90_cubic0.10_10mp_t512","apple-ciraw",3873,2582,10.00,206,0,0,0,39,57,0,303,3.298,18657280,926215,20.14,3602,0.3599,0.8318,0.02046,0.6401,0.7483,46.02,0.9602,0.2551,43.81,44.21,44.98,45.06,0.277,0.346,yes,yes,1.0000,0.0000,0.0000,yes,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","CIRAWFilter native 4608x3072, neutral 6706 K / 24.1, scale 0.840 (setup 40 + render 160 ms) | VideoToolbox com.apple.videotoolbox.videoencoder.jpeg.ajpeg sampling 2x2,1x1,1x1"
1,"_WEX3879.ARW","libraw_cfa_lj92_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,166,0,0,0,0,34,14,214,4.674,18657280,15855302,1.18,3578,0.0402,0.1176,0.00699,1.0402,0.9907,47.66,0.9987,0.0878,,,,,,,,yes,0.0396,1.0396,0.9921,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","LibRaw open 2 + unpack 158 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX3879.ARW","libraw_cfa_jxl-lossless-e7_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,162,0,0,0,0,56,12,231,4.330,18657280,14627218,1.28,3510,0.0402,0.1176,0.00699,1.0402,0.9907,47.66,0.9987,0.0878,,,,,,,,yes,0.0396,1.0396,0.9921,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","LibRaw open 0 + unpack 158 + copy 1 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX3879.ARW","libraw_cfa_jxl-d0.5-e7-xyb_cubic0.10_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,165,0,0,0,30,332,2,529,1.890,18657280,1273493,14.65,3516,0.0234,0.1012,0.00645,1.0234,0.9994,59.01,0.9941,0.0663,58.59,58.94,58.45,59.50,0.066,0.063,yes,yes,0.0230,1.0230,1.0008,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","LibRaw open 0 + unpack 159 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX3879.ARW","libraw_cfa_jxl-d1.0-e7-xyb_cubic0.10_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,163,0,0,0,32,305,2,502,1.991,18657280,663235,28.13,3677,0.0291,0.1058,0.00487,1.0033,1.0124,52.84,0.9831,0.1560,52.45,52.70,52.34,53.23,0.161,0.141,yes,yes,0.0261,1.0030,1.0136,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","LibRaw open 0 + unpack 157 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX3879.ARW","libraw_cfa_jxl-d0.5-e7-xyb_lut2.2_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,164,0,0,0,64,310,5,543,1.840,18657280,1272824,14.66,3680,12.4406,20.1501,0.62127,6.1988,7.5919,11.05,0.4977,3.6859,10.63,10.59,10.20,11.85,3.719,3.607,yes,yes,12.4368,6.1986,7.5982,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","LibRaw open 0 + unpack 158 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
1,"_WEX3879.ARW","libraw_cfa_jxl-d1.0-e7-rgb_linear_keep_t512_be0.35","libraw-0.22.1-Release",4608,3072,14.16,162,0,0,0,0,307,1,469,2.130,18657280,421488,44.27,4056,0.0419,0.4684,0.02604,1.0419,1.0358,39.81,0.9190,0.9165,39.30,40.00,39.33,40.22,0.924,0.874,yes,yes,0.0347,1.0347,1.0331,no,"com.adobe.raw-image",yes,"thumbnail drawn","",,"nominal","","LibRaw open 0 + unpack 156 + copy 2 ms; LibRaw visible area 4624×3080 at (0,0); camera crop 4608×3072 at +(44,30); black 512.0; maximum 16383 | BaselineExposure 0.35 written (source had none)"
